[0821/171321.646:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0821/173303.290:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173316.339:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173316.519:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173330.751:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173335.764:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173340.776:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173345.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173345.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173349.160:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173350.211:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0821/173350.795:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
